Title,Source,Posted,Link,Description
"California wildfires: What we know about L.A.-area fires, what caused them, who...",NBC News ·  via Yahoo News,4 hours ago · ,https://www.yahoo.com/news/california-wildfires-know-l-area-064047289.html?fr=sycsrp_catchall,A Los Angeles County fire official said an untold number of significant injuries were linked to two... 
"A father at the bedside of his son, a surfer and a woman who stayed behind with...",CNN ·  via Yahoo News,4 hours ago · ,https://www.yahoo.com/news/father-bedside-son-woman-stayed-195727190.html?fr=sycsrp_catchall,An amputee and his son with cerebral palsy were among the 24 deaths in the fires raging around Los... 
"The L.A. Fires Expose a Web of Governments, Weak by Design",New York Times,2 hours ago · ,https://www.nytimes.com/2025/01/19/us/wildfires-los-angeles-governance.html,"The muddled jurisdiction of Los Angeles leaves a critical question in doubt. Adam Nagourney, a... "
"Los Angeles fires survivors face arduous federal aid process, delayed payouts",World Socialist Web Site,1 day ago · ,https://www.wsws.org/en/articles/2025/01/18/zlqp-j18.html,"After over 10 days of intense firefighting, the Palisades and Eaton fires continue to rage in Los... "
'NCIS: Los Angeles' Star Eric Christian Olsen's Home Burns Down in LA Wildfires,popculture.com,13 hours ago · ,https://popculture.com/celebrity/news/ncis-los-angeles-star-eric-christian-olsens-home-burns-down-in-la-wildfires/,"As Los Angeles continues to be devastated by wildfires, many residents, including celebrities, are... "
"Los Angeles home survived the fire, only to be split in two by a landslide",NBC NEWS,2 days ago · ,https://www.nbcnews.com/weather/wildfires/california-fire-landslide-destroys-palisades-home-rcna188069,"Adam VanGerpen, a Los Angeles Fire Department captain, said future landslides in the burn scars from... "
Fire-wrecked Los Angeles waits for winds to drop,Phys.org,4 days ago · ,https://phys.org/news/2025-01-los-angeles.html,Fire-wrecked Los Angeles waited nervously on Wednesday for dangerous winds to drop and give a much-needed break to weary firefighters still struggling to... 
Column: The Palisades fire took their classroom. Their teacher is trying to give...,Los Angeles Times,42 minutes ago · ,https://www.latimes.com/opinion/story/2025-01-19/pacific-palisades-charter-elementary-school-brentwood-la-fires-lausd-los-angeles-california-robin-abcarian,First-grade teacher Jean De Longe had no time to waste when she arrived at Brentwood Elementary... 
"Elderly and cash-strapped, a couple consider a proposal to sell their home to...",LA Times ·  via Yahoo Finance,42 minutes ago · ,https://finance.yahoo.com/news/elderly-cash-strapped-couple-consider-110007970.html?fr=sycsrp_catchall,"The local building department will have copies of those permits on file, and they can be obtained at... "
"Los Angeles Fires: Full List of Canceled Events, from Oscar Nominations to...",indieWIRE,1 day ago · ,https://www.indiewire.com/news/business/los-angeles-fires-premieres-events-canceled-full-list-1235083329/,Multiple events in and across Los Angeles and Hollywood have been canceled or postponed amid the... 
Fires scorched campuses across Los Angeles. Many schools are seeking places to...,The Santa Rosa Press Democrat,2 days ago · ,https://www.pressdemocrat.com/article/trending/fires-scorched-campuses-across-los-angeles-many-schools-are-seeking-places/,"Days after losing her home in the same fire that destroyed her Los Angeles elementary school,... "
Los Angeles fires have scorched largest urban area in California in at least 40...,NBC Los Angeles,2 days ago · ,https://www.nbclosangeles.com/news/california-wildfires/los-angeles-fires-have-scorched-largest-urban-area-in-california-in-at-least-40-years/3608293/,Two wildfires still burning in Los Angeles have torched more urban area than any other fire in the... 
Fire expert wants you to view Los Angeles fires like the pandemic | Opinion,The Arizona Republic ·  via Yahoo News,5 days ago · ,https://www.yahoo.com/news/fire-expert-wants-view-los-130142455.html?fr=sycsrp_catchall,Pyne is a professor emeritus at Arizona State University. He is among the world’s foremost experts... 
Fires scorched campuses across Los Angeles. Many schools are seeking places to...,WDTN-TV 2 Dayton,2 days ago · ,https://www.wdtn.com/news/u-s-world/ap-us-news/ap-fires-scorched-campuses-across-los-angeles-many-schools-are-seeking-places-to-hold-classes/,LOS ANGELES (AP) — Days after losing her home in the same fire that destroyed her Los Angeles... 
Fires scorched campuses across Los Angeles. Many schools are seeking places to...,WJTV Jackson,2 days ago · ,https://www.wjtv.com/news/national/ap-fires-scorched-campuses-across-los-angeles-many-schools-are-seeking-places-to-hold-classes/,LOS ANGELES (AP) — Days after losing her home in the same fire that destroyed her Los Angeles... 
Column: The Palisades fire took their classroom. Their teacher is trying to give...,Los Angeles Times,42 minutes ago · ,https://www.latimes.com/opinion/story/2025-01-19/pacific-palisades-charter-elementary-school-brentwood-la-fires-lausd-los-angeles-california-robin-abcarian,First-grade teacher Jean De Longe had no time to waste when she arrived at Brentwood Elementary... 
Fires scorched campuses across Los Angeles. Many schools are seeking places to...,WFRV 5 Green Bay,2 days ago · ,https://www.wearegreenbay.com/news/national/ap-fires-scorched-campuses-across-los-angeles-many-schools-are-seeking-places-to-hold-classes/,LOS ANGELES (AP) — Days after losing her home in the same fire that destroyed her Los Angeles... 
Fires scorched campuses across Los Angeles. Many schools are seeking places to...,FOX 8 Cleveland,2 days ago · ,https://fox8.com/news/national/ap-us-news/ap-fires-scorched-campuses-across-los-angeles-many-schools-are-seeking-places-to-hold-classes/,LOS ANGELES (AP) — Days after losing her home in the same fire that destroyed her Los Angeles... 
Fires scorched campuses across Los Angeles. Many schools are seeking places to...,WJET - WFXP Erie,2 days ago · ,https://www.yourerie.com/news/national-news/ap-fires-scorched-campuses-across-los-angeles-many-schools-are-seeking-places-to-hold-classes/,LOS ANGELES (AP) — Days after losing her home in the same fire that destroyed her Los Angeles... 
Fires scorched campuses across Los Angeles. Many schools are seeking places to...,WSB Radio,2 days ago · ,https://www.wsbradio.com/news/national/fires-scorched/G7HXNWS4HBBPTBFETDMT2ARDGE/,"LOS ANGELES — (AP) — Days after losing her home in the same fire that destroyed her Los Angeles elementary school, third-grader Gabriela Chevez-Muñoz resumed classes this week at another campus ... "
Domestic workers in Los Angeles face financial crisis after homes they worked in...,Good Morning America ·  via Yahoo News,1 day ago · ,https://www.yahoo.com/news/domestic-workers-los-angeles-face-111644162.html?fr=sycsrp_catchall,Domestic workers in Los Angeles say they're struggling to make ends meet after the houses they... 
Fires scorched campuses across Los Angeles. Many schools are seeking places to...,KMBC-TV Kansas City,2 days ago · ,https://www.kmbc.com/article/los-angeles-wildfires-school-disruption/63456777,"Days after losing her home in the same fire that destroyed her Los Angeles elementary school,... "
California officials warn against price gouging as rents soar in fire-stricken...,KRQE & KASA FOX 2 Albuquerque,11 hours ago · ,https://www.krqe.com/news/national/ap-california-officials-warn-against-price-gouging-as-rents-soar-in-fire-stricken-los-angeles/,Southern California’s expensive housing market is going to get a lot more competitive after deadly... 
Opinion: Experts once thought highly of Biden's presidency. Here's how his...,Los Angeles Times Opinion ·  via Yahoo News,42 minutes ago · ,https://www.yahoo.com/news/opinion-experts-once-thought-highly-110046158.html?fr=sycsrp_catchall,"A year ago, a survey of presidential scholars put him in the top third of chief executives while... "
"Hollywood actress calls LA Fires ‘a disaster,’ says not enough was done by...",Fox News,9 hours ago · ,https://www.foxnews.com/entertainment/hollywood-actress-la-fires-disaster-not-enough-done-elected-officials,Hollywood actress Elizabeth Chambers argues not enough was being done by the government during the... 
